ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.6775,-2.0504,-8.9909,-2.8469,-2.1454,-9.1358,-0.0055,-0.0173,0.0311,9.0E-4,0.0041,1.0E-4,102.0,54.28,-8.33,60.9,132.19,14.29,159.53,0.0,55.866,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1185013,2018-03-07 13:57:09:687
-2.9569,-2.3429,-8.8771,-3.1267,-2.3399,-8.9955,-0.0235,-0.0325,0.009,-0.0055,0.0188,-0.0016,102.0,53.65,-6.58,61.83,126.9,13.1,161.81,0.0,50.619,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1190013,2018-03-07 13:57:14:687
-2.9949,-2.19,-8.9569,-3.0606,-2.2263,-9.0469,0.0211,0.0213,0.0027,0.0011,-0.0028,0.0031,102.0,54.28,-7.75,62.9,128.75,13.12,161.65,0.0,1.407,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1195013,2018-03-07 13:57:19:687
-3.0453,-2.246,-8.9223,-3.0879,-2.2419,-9.0338,0.0378,0.0319,-0.0309,-0.0028,0.0109,7.0E-4,102.0,54.62,-8.14,64.12,129.44,13.16,161.01,0.0,56.787,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1200013,2018-03-07 13:57:24:687
-3.0083,-2.1945,-8.9238,-3.0553,-2.252,-9.0424,-0.0238,0.056,-0.0131,0.0034,0.0017,6.0E-4,102.0,54.19,-8.53,64.27,131.79,13.42,160.9,0.0,26.508,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1205013,2018-03-07 13:57:29:687
-2.909,-2.2197,-8.9549,-2.9528,-2.2379,-9.0798,0.0252,-0.0083,0.0137,-0.0036,-4.0E-4,-9.0E-4,102.0,53.16,-8.53,61.68,130.25,13.24,161.65,0.0,45.604,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1210013,2018-03-07 13:57:34:687
-2.8418,-2.1767,-8.9853,-2.9221,-2.2311,-9.0914,0.0103,-0.0093,-0.0104,-0.0013,0.0043,-0.0011,102.0,53.89,-8.58,64.71,130.31,13.13,162.05,0.0,53.395,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1215013,2018-03-07 13:57:39:687
-2.903,-2.2244,-8.974,-3.0372,-2.2462,-9.0499,-0.0306,-0.0442,0.0263,-0.0023,0.0167,0.0266,102.0,53.75,-7.5,63.73,128.55,13.15,162.22,0.0,34.287,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1220013,2018-03-07 13:57:44:687
-2.775,-2.1132,-8.9908,-2.7939,-2.1105,-9.1603,0.0423,0.0341,0.0037,-6.0E-4,0.0025,0.0014,102.0,53.55,-9.16,65.34,128.92,12.61,162.55,0.0,43.907,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1225013,2018-03-07 13:57:49:687
-2.6805,-2.094,-9.0745,-2.8133,-2.1575,-9.1434,0.0522,-0.0135,0.0022,0.0038,-0.0145,-0.01,102.0,53.06,-8.04,65.59,128.63,12.53,162.83,0.0,47.374,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1230013,2018-03-07 13:57:54:687
-2.8157,-2.1347,-9.0171,-2.8504,-2.1657,-9.1299,-0.0039,-0.0034,0.005,-0.0028,0.0,1.0E-4,102.0,53.5,-8.19,65.54,128.75,12.83,162.48,0.0,41.495,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1235013,2018-03-07 13:57:59:687
-2.86,-2.173,-8.9919,-2.856,-2.1766,-9.1256,0.0197,0.0334,0.0,-0.0033,0.0018,0.0025,102.0,53.7,-8.48,65.15,128.3,12.86,162.48,0.0,52.667,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1240013,2018-03-07 13:58:04:687
-2.83,-2.1862,-8.9943,-2.8494,-2.1789,-9.1271,0.0028,-0.0107,0.0193,0.0022,-9.0E-4,-1.0E-4,102.0,53.45,-8.14,65.24,128.2,12.69,162.94,0.0,19.826,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1245013,2018-03-07 13:58:09:687
-2.8288,-2.1682,-9.035,-2.8649,-2.1862,-9.1205,-0.0089,0.0045,0.0051,-0.0032,0.0159,4.0E-4,102.0,53.36,-7.94,65.0,128.9,12.87,162.62,0.0,24.624,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1250013,2018-03-07 13:58:14:687
-3.2635,-2.0381,-8.9638,-2.9071,-2.0676,-9.1348,0.3423,-0.0405,0.0321,0.0141,-0.017,0.0036,102.0,51.94,-12.19,65.78,140.58,14.28,159.63,0.0,42.478,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1255014,2018-03-07 13:58:19:688
-3.1076,-2.0833,-8.9309,-3.0328,-2.1424,-9.0765,-0.0112,-0.0525,0.0171,4.0E-4,-0.0025,0.0042,102.0,54.19,-10.78,63.88,132.6,12.71,161.09,0.0,17.244,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1260013,2018-03-07 13:58:24:687
-3.4528,-2.504,-8.9439,-3.0207,-2.3922,-9.0179,0.7051,-0.1102,0.2479,-0.0368,0.1427,-0.3645,102.0,53.94,-11.02,63.24,130.83,12.62,161.94,0.0,48.781,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1265014,2018-03-07 13:58:29:688
-4.9702,-2.3443,-8.1832,-4.8897,-2.3371,-8.1731,-0.1237,-0.0415,0.0163,-0.0095,-0.014,0.033,102.0,65.07,-12.58,53.77,137.82,10.74,147.06,0.0,21.729,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1270013,2018-03-07 13:58:34:687
-5.7575,-1.3213,-7.9603,-4.9131,-2.0756,-8.2295,-0.5061,-0.2714,-0.0894,-0.2041,-0.0623,-0.2433,102.0,71.42,-2.43,48.89,123.15,14.0,146.78,0.0,28.777,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1275013,2018-03-07 13:58:39:687
-5.4286,-2.2244,-7.9762,-5.3556,-2.2357,-7.905,0.1525,0.0238,-0.0102,0.0048,0.007,0.0075,102.0,73.77,15.25,48.59,97.11,13.22,145.75,0.0,5.127,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1280013,2018-03-07 13:58:44:687
-5.3949,-2.2711,-8.0022,-5.3108,-2.2229,-7.9388,0.0448,0.0172,-0.008,0.0045,-0.0011,-0.0018,102.0,73.08,14.81,49.13,96.33,13.08,146.51,0.0,1.289,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1285013,2018-03-07 13:58:49:687
-5.3317,-2.2795,-8.0408,-5.3363,-2.2461,-7.9151,-0.0304,0.0674,0.0501,0.0271,-0.0113,-0.0049,102.0,72.3,13.69,49.86,98.38,13.05,146.42,0.0,56.162,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1290013,2018-03-07 13:58:54:687
-5.4239,-2.3109,-7.9341,-5.3676,-2.3181,-7.8731,-0.0987,-0.0821,0.0044,0.0106,-0.0066,0.0089,102.0,72.59,13.93,48.25,99.15,13.6,145.8,0.0,53.832,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1295013,2018-03-07 13:58:59:687
-5.3473,-2.3429,-8.0253,-5.2863,-2.3048,-7.9318,-0.0507,0.002,0.0674,0.0165,-0.0212,0.025,102.0,72.64,15.54,49.33,96.03,13.6,146.35,0.0,10.562,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1300013,2018-03-07 13:59:04:687
-5.3736,-2.319,-8.0863,-5.1953,-2.2453,-8.0086,-0.0285,0.0045,0.013,0.006,0.0018,0.0014,102.0,71.52,15.44,50.4,96.87,13.29,147.22,0.0,22.79,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1305013,2018-03-07 13:59:09:687
-5.2348,-2.2819,-8.0695,-5.1939,-2.2574,-8.0061,0.0335,-0.0017,-0.0318,0.0171,-0.0143,0.0049,102.0,72.25,16.28,50.6,95.78,13.31,147.04,0.0,18.553,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1310013,2018-03-07 13:59:14:687
-5.2552,-2.3213,-8.0839,-5.2148,-2.2487,-7.995,0.0637,-0.0174,0.0144,-0.0158,0.0042,-0.0021,102.0,72.15,15.2,50.25,97.29,13.39,146.88,0.0,30.933,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1315013,2018-03-07 13:59:19:687
-5.3303,-2.2785,-8.0298,-5.2621,-2.274,-7.9567,0.0049,-0.0138,-0.0167,0.0011,-0.0022,-0.0022,102.0,72.3,16.57,49.23,93.24,13.24,146.7,0.0,-0.372,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1320014,2018-03-07 13:59:24:688
-5.3605,-2.368,-8.0611,-5.2128,-2.2724,-7.9896,-0.0301,0.0096,0.0123,0.0042,-0.0052,0.0038,102.0,71.13,15.54,46.59,94.06,13.27,146.74,0.0,1.583,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1325013,2018-03-07 13:59:29:687
-5.303,-2.3118,-8.0516,-5.2302,-2.2751,-7.9774,-2.0E-4,-0.0349,0.0073,-0.0012,-2.0E-4,8.0E-4,102.0,71.86,15.25,49.81,97.37,13.41,146.81,0.0,-0.63,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1330013,2018-03-07 13:59:34:687
-5.2695,-2.362,-8.0827,-5.2449,-2.288,-7.9641,0.007,0.0306,0.0016,0.0028,-0.0093,0.0014,102.0,72.11,16.08,49.77,95.7,13.4,146.76,0.0,50.446,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1335013,2018-03-07 13:59:39:687
-5.2946,-2.3345,-8.0169,-5.2283,-2.2978,-7.9721,-0.0075,0.0227,-0.0303,-0.0076,-0.0042,0.0023,102.0,72.15,16.91,49.72,94.37,13.55,146.8,0.0,37.394,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1340013,2018-03-07 13:59:44:687
-5.2492,-2.3213,-8.0695,-5.1813,-2.3056,-8.0005,0.0014,0.0083,0.0042,-8.0E-4,-4.0E-4,2.0E-4,102.0,72.01,14.18,50.4,99.54,13.67,147.03,0.0,21.751,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1345013,2018-03-07 13:59:49:687
-5.0374,-2.6786,-8.3712,-5.1166,-2.0668,-8.1068,-0.0791,0.2249,0.4217,-0.1694,-0.127,-0.5185,102.0,71.18,1.72,50.16,117.14,13.24,146.95,0.0,19.721,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1350013,2018-03-07 13:59:54:687
-5.3652,-2.3572,-7.9846,-5.3129,-2.3203,-7.9095,-0.0429,-0.0232,-0.0177,0.0491,0.0077,0.0872,102.0,71.81,8.61,45.96,106.17,13.81,146.23,0.0,45.904,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1355012,2018-03-07 13:59:59:686
-5.0736,-2.293,-8.1389,-4.8974,-2.3331,-8.1696,-0.2008,0.0075,0.0206,-0.1417,-0.0321,-0.2832,102.0,70.98,2.7,50.94,116.21,13.29,147.2,0.0,41.804,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1360014,2018-03-07 14:00:04:688
-5.2722,-2.3108,-8.056,-5.2456,-2.2769,-7.9668,0.0293,-0.0661,-0.0366,0.0013,0.0,0.0016,102.0,72.64,9.98,48.79,104.99,13.54,146.93,0.0,49.27,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1365013,2018-03-07 14:00:09:687
-5.3126,-2.2974,-7.975,-5.2798,-2.3359,-7.927,0.02,-0.0371,-0.0052,0.0089,-0.0152,0.0077,102.0,72.3,12.17,48.25,102.25,13.67,146.28,0.0,37.615,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1370013,2018-03-07 14:00:14:687
-5.3664,-2.3549,-8.0037,-5.3071,-2.3387,-7.9079,0.0013,0.0106,-0.0054,9.0E-4,-4.0E-4,-3.0E-4,102.0,72.54,12.27,49.28,103.15,13.81,146.11,0.0,34.309,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1375013,2018-03-07 14:00:19:687
-5.271,-2.3815,-8.0181,-5.276,-2.3474,-7.9261,0.0501,-0.0571,-0.0427,0.0126,-0.0031,0.0042,102.0,72.69,7.88,49.96,110.39,13.9,145.84,0.0,41.298,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1380012,2018-03-07 14:00:24:686
-5.106,-2.4905,-8.1693,-4.9022,-2.375,-8.1547,-0.3706,0.021,0.0779,-0.1553,-0.036,-0.2796,102.0,71.76,9.93,51.08,103.98,13.46,149.52,0.0,52.416,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1385013,2018-03-07 14:00:29:687
-5.1424,-0.6802,-7.9468,-5.4371,-0.3418,-8.1543,0.5934,0.0381,0.6139,-0.1105,-0.1193,0.1115,102.0,55.46,-33.63,46.79,151.6,2.0,146.31,0.0,54.212,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1390013,2018-03-07 14:00:34:687
-5.564,-2.0861,-8.0299,-5.5361,-1.9881,-7.8466,-0.0288,0.1318,0.1085,-0.001,-0.0074,-0.0034,102.0,60.68,-25.03,49.37,151.47,11.7,144.8,0.0,19.497,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1395013,2018-03-07 14:00:39:687
-5.604,-2.0926,-7.9119,-5.4887,-2.1408,-7.8397,-0.1579,0.1782,0.1834,-0.1014,-0.0635,-0.2098,102.0,66.05,-18.15,47.91,142.36,12.61,145.0,0.0,55.781,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1400012,2018-03-07 14:00:44:686
-9.6161,-15.5609,2.0381,-0.6119,-8.3912,5.0383,-14.4243,-5.2277,-1.5081,3.15,1.8982,-6.0802,50.0,46.03,-42.12,-32.02,217.92,58.83,6.92,5.0,50.734,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1405013,2018-03-07 14:00:49:687
-1.0806,5.1687,7.4064,-1.276,6.0467,7.6145,-0.3625,-0.8658,0.5662,0.0526,-0.0164,-0.1235,589.0,-10.32,-70.1,-26.9,160.16,-38.07,9.51,5.0,36.515,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1410013,2018-03-07 14:00:54:687
-1.6139,5.9347,7.4149,-1.5017,6.1713,7.472,0.1926,-0.0027,0.3764,0.0768,-0.0077,0.0534,2416.0,-11.4,-73.58,-31.5,158.87,-35.81,10.25,5.0,57.169,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1415013,2018-03-07 14:00:59:687
-0.376,6.0735,7.6473,-1.1924,6.0984,7.5867,0.6163,-0.0496,-0.7938,0.2527,0.1409,0.184,629.0,-5.39,-76.36,-19.49,170.54,-35.5,11.22,5.0,51.655,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1420013,2018-03-07 14:01:04:687
-0.747,4.1314,8.5373,-0.8181,4.3346,8.7586,-0.3614,-0.1532,-0.457,0.1566,0.2169,0.1574,1732.0,-3.58,-71.38,-32.48,163.22,-22.89,23.58,5.0,53.073,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1425012,2018-03-07 14:01:09:686
-1.4259,4.4208,8.304,-1.7381,4.5876,8.4914,0.3522,0.0377,0.2008,-0.0922,0.0726,-0.0031,1989.0,-14.81,-73.39,-30.58,162.12,-27.5,2.58,5.0,4.7,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1430013,2018-03-07 14:01:14:687
-2.97,2.3411,10.2332,-2.8694,2.1936,9.1173,0.3404,0.1388,0.1284,0.1209,0.0683,0.0148,3755.0,1.01,-65.72,-41.08,166.3,-15.77,19.73,5.0,48.201,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1435013,2018-03-07 14:01:19:687
-4.209,4.3974,4.6571,-2.7803,5.2365,7.8115,-0.4405,0.0702,1.9745,-0.3042,-1.0515,-0.2259,1543.0,-11.79,-75.83,-24.77,163.0,-33.19,8.61,5.0,49.647,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1440012,2018-03-07 14:01:24:686
-0.4647,-2.4039,13.7542,-2.46,1.7043,9.3389,-1.1452,-1.0997,2.3026,1.3336,-1.1222,-2.0317,2964.0,-44.7,-29.24,-38.83,111.06,-15.56,6.47,5.0,57.212,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1445012,2018-03-07 14:01:29:686
1.0403,-0.9491,9.1086,0.5272,1.673,9.6485,-0.2197,-1.005,-1.4522,0.3242,0.0119,-0.1247,1962.0,-34.3,9.18,-53.87,51.61,-14.42,-5.27,5.0,63.55,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1450013,2018-03-07 14:01:34:687
-0.7626,5.1706,8.1622,-0.8218,5.3246,8.1942,0.0235,0.0783,-0.1445,0.0311,0.0126,-0.0043,968.0,-38.64,-34.42,-46.15,99.78,-31.19,6.04,5.0,51.191,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1455013,2018-03-07 14:01:39:687
-0.984,1.5933,7.5915,-2.5017,1.2402,9.4007,-1.6231,1.0374,1.2795,-0.4994,0.1252,0.1149,826.0,-36.4,-32.57,-49.62,96.36,-31.21,6.57,5.0,60.93,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 17,1460012,2018-03-07 14:01:44:686
4.6415,-1.771,9.4986,4.4552,-2.0713,8.4871,0.0569,1.9987,-0.1085,-0.1133,0.0745,0.4011,1468.0,-52.85,-37.3,-52.31,118.61,-4.9,9.6,5.0,51.12,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 25,1465013,2018-03-07 14:01:49:687
-0.3367,-0.7421,10.1518,-0.3571,-0.7208,9.7736,-0.0042,-0.0126,-0.032,-0.0021,0.0038,-0.0043,4872.0,-33.91,-43.45,-63.19,143.11,4.1,1.4,5.0,49.046,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 25,1470013,2018-03-07 14:01:54:687
-0.3834,-0.7265,10.1207,-0.3852,-0.7028,9.7738,0.0097,0.0136,-0.0222,-0.0026,0.0013,-0.0035,4865.0,-34.05,-43.55,-63.19,142.95,4.07,2.24,5.0,50.593,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,0 / 25,1475013,2018-03-07 14:01:59:687
-0.3941,-0.7385,10.1183,-0.3705,-0.6773,9.7762,0.0279,0.0372,-0.0219,-0.0045,-0.0034,0.001,4811.0,-34.25,-43.36,-63.44,142.44,4.08,2.17,5.0,54.527,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,1 / 25,1480012,2018-03-07 14:02:04:686
-0.4252,-0.7277,10.0932,-0.3794,-0.6868,9.7752,-0.0092,-0.0036,0.0799,-0.0056,-0.0046,0.0026,4797.0,-33.91,-43.01,-64.27,142.41,4.02,2.17,5.0,57.284,37.299553,-79.29736,0.0,NaN,0.0,697248.4,81.0,2 / 25,1485012,2018-03-07 14:02:09:686
-0.4169,-0.6631,10.1052,-0.4007,-0.6548,9.7766,0.0094,-0.022,-0.0295,-0.0021,-6.0E-4,0.0012,4824.0,-34.44,-43.5,-65.05,142.78,3.92,2.35,5.0,43.288,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1490012,2018-03-07 14:02:14:686
-0.4085,-0.6368,10.0107,-0.4053,-0.6527,9.7765,0.0091,-0.003,-0.0044,0.0039,5.0E-4,2.0E-4,4831.0,-34.1,-43.06,-63.73,142.36,4.0,2.22,5.0,51.233,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1495012,2018-03-07 14:02:19:686
-0.3882,-0.7146,10.1219,-0.3864,-0.6762,9.7757,0.0201,-0.0108,-0.069,-5.0E-4,-0.0021,-0.0012,4865.0,-33.61,-42.62,-63.49,142.31,3.97,2.24,5.0,51.808,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1500013,2018-03-07 14:02:24:687
-0.3654,-0.6871,10.0693,-0.3851,-0.6762,9.7757,0.011,9.0E-4,0.0163,0.0024,9.0E-4,-0.001,4804.0,-34.2,-42.48,-64.37,141.67,3.95,2.29,5.0,50.602,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1505013,2018-03-07 14:02:29:687
-0.3894,-0.6859,10.0705,-0.394,-0.6689,9.7759,0.0077,-0.0117,0.0026,0.0017,0.0022,-7.0E-4,4878.0,-33.52,-42.33,-63.29,141.53,3.84,2.37,5.0,49.857,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1510012,2018-03-07 14:02:34:686
-0.4109,-0.6727,10.0968,-0.3975,-0.6628,9.7762,0.0033,0.005,0.0165,5.0E-4,-0.0011,0.0029,4872.0,-33.91,-42.77,-63.54,142.18,3.86,2.33,5.0,30.536,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1515012,2018-03-07 14:02:39:686
-0.4193,-0.6763,10.098,-0.3998,-0.6623,9.7761,0.0071,-0.0125,-0.0039,0.0021,0.0019,0.0018,4892.0,-33.17,-42.18,-59.63,142.33,3.9,2.35,5.0,25.166,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1520013,2018-03-07 14:02:44:687
-0.4109,-0.6966,10.0645,-0.3991,-0.6656,9.7759,0.0104,-0.0137,-0.0032,0.0016,0.0015,-4.0E-4,4878.0,-32.34,-41.94,-59.83,143.12,3.9,2.34,5.0,53.859,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1525013,2018-03-07 14:02:49:687
-0.387,-0.6871,10.0765,-0.3993,-0.6615,9.7762,0.0202,-9.0E-4,9.0E-4,1.0E-4,0.0018,0.0,4865.0,-32.69,-41.99,-59.68,142.31,3.89,2.36,5.0,51.7,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1530013,2018-03-07 14:02:54:687
-0.4181,-0.6871,10.0418,-0.4018,-0.6492,9.7769,0.0106,-0.0138,-0.0034,0.003,5.0E-4,0.0022,4865.0,-32.44,-41.7,-59.92,143.03,3.83,2.41,5.0,56.86,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1535013,2018-03-07 14:02:59:687
-0.387,-0.7242,9.818,-0.3738,-0.6989,9.7746,0.0177,-0.0063,-0.0575,-8.0E-4,-1.0E-4,0.0034,4885.0,-32.3,-41.4,-59.63,142.5,3.88,2.35,5.0,41.928,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1540013,2018-03-07 14:03:04:687
-0.369,-0.7122,10.0896,-0.3733,-0.6946,9.7749,-0.0046,7.0E-4,0.0014,0.0018,-0.0018,9.0E-4,4885.0,-32.2,-41.31,-60.22,142.72,4.07,2.22,5.0,2.112,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1545013,2018-03-07 14:03:09:687
0.2687,-0.4908,9.513,1.2331,0.8554,9.6911,-0.6482,-0.6956,-0.7541,-0.1107,-0.4878,0.6476,4872.0,-44.89,-46.19,-45.27,136.18,3.82,2.35,5.0,27.793,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1550012,2018-03-07 14:03:14:686
-2.3646,7.1829,2.892,-3.2364,7.0025,6.0548,0.2807,-0.5994,0.9361,-0.7811,0.7314,0.1264,379.0,-28.29,-72.85,-38.19,133.94,-41.05,18.61,5.0,8.799,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1555013,2018-03-07 14:03:19:687
-4.1078,7.1662,4.1458,-3.708,6.906,5.8931,0.0233,-0.2052,0.3264,0.7016,0.3696,-0.2157,372.0,-25.31,-67.18,-37.12,129.99,-54.15,53.07,5.0,24.302,35.7724,-78.67779,74.0,NaN,1.84,33.0,12.3,4 / 18,1560013,2018-03-07 14:03:24:687